Key,Modifier,KMN_Unicode,XKB_Unicode,KMN_Char,XKB_Char,Status
AB01,Base,U0632,U0632,ز,ز,Match
AB01,Shift,U0630,U0630,ذ,ذ,Match
AB01,AltGr,U06E1,U06E1,ۡ,ۡ,Match
AB01,Shift+AltGr,None,None,,,Match
AB02,Base,U0634,U0634,ش,ش,Match
AB02,Shift,U0698,U0698,ژ,ژ,Match
AB02,AltGr,None,None,,,Match
AB02,Shift+AltGr,None,None,,,Match
AB03,Base,U0686,U0686,چ,چ,Match
AB03,Shift,U062B,U062B,ث,ث,Match
AB03,AltGr,U06E3,U06E3,ۣ,ۣ,Match
AB03,Shift+AltGr,None,None,,,Match
AB04,Base,U0637,U0637,ط,ط,Match
AB04,Shift,U0638,U0638,ظ,ظ,Match
AB04,AltGr,U0615,U0615,ؕ,ؕ,Match
AB04,Shift+AltGr,None,None,,,Match
AB05,Base,U0628,U0628,ب,ب,Match
AB05,Shift,UFDFD,UFDFD,﷽,﷽,Match
AB05,AltGr,None,None,,,Match
AB05,Shift+AltGr,None,None,,,Match
AB06,Base,U0646,U0646,ن,ن,Match
AB06,Shift,U06BA,U06BA,ں,ں,Match
AB06,AltGr,U06E8,U06E8,ۨ,ۨ,Match
AB06,Shift+AltGr,U06FF,U06FF,ۿ,ۿ,Match
AB07,Base,U0645,U0645,م,م,Match
AB07,Shift,U0610,U0610,ؐ,ؐ,Match
AB07,AltGr,U06D8,U06D8,ۘ,ۘ,Match
AB07,Shift+AltGr,U06E2,U06E2,ۢ,ۢ,Match
AB08,Base,U060C,U060C,،,،,Match
AB08,Shift,U0650,U0650,ِ,ِ,Match
AB08,AltGr,U06EB,U06EB,۫,۫,Match
AB08,Shift+AltGr,U060D,U060D,؍,؍,Match
AB09,Base,U06D4,U06D4,۔,۔,Match
AB09,Shift,U064E,U064E,َ,َ,Match
AB09,AltGr,U06EF,U06EF,ۯ,ۯ,Match
AB09,Shift+AltGr,U06DD,U06DD,۝,۝,Match
AB10,Base,U002F,U002F,/,/,Match
AB10,Shift,U061F,U061F,؟,؟,Match
AB10,AltGr,None,None,,,Match
AB10,Shift+AltGr,U06DB,U06DB,ۛ,ۛ,Match
AC01,Base,U0627,U0627,ا,ا,Match
AC01,Shift,U0622,U0622,آ,آ,Match
AC01,AltGr,U0623,U0623,أ,أ,Match
AC01,Shift+AltGr,U0625,U0625,إ,إ,Match
AC02,Base,U0633,U0633,س,س,Match
AC02,Shift,U0635,U0635,ص,ص,Match
AC02,AltGr,U06DC,U06DC,ۜ,ۜ,Match
AC02,Shift+AltGr,U06EA,U06EA,۪,۪,Match
AC03,Base,U062F,U062F,د,د,Match
AC03,Shift,U0688,U0688,ڈ,ڈ,Match
AC03,AltGr,None,None,,,Match
AC03,Shift+AltGr,None,None,,,Match
AC04,Base,U0641,U0641,ف,ف,Match
AC04,Shift,U0656,U0656,ٖ,ٖ,Match
AC04,AltGr,None,None,,,Match
AC04,Shift+AltGr,None,None,,,Match
AC05,Base,U06AF,U06AF,گ,گ,Match
AC05,Shift,U063A,U063A,غ,غ,Match
AC05,AltGr,None,None,,,Match
AC05,Shift+AltGr,None,None,,,Match
AC06,Base,U06BE,U06BE,ھ,ھ,Match
AC06,Shift,U062D,U062D,ح,ح,Match
AC06,AltGr,None,None,,,Match
AC06,Shift+AltGr,None,None,,,Match
AC07,Base,U062C,U062C,ج,ج,Match
AC07,Shift,U0636,U0636,ض,ض,Match
AC07,AltGr,U06DA,U06DA,ۚ,ۚ,Match
AC07,Shift+AltGr,U06ED,U06ED,ۭ,ۭ,Match
AC08,Base,U06A9,U06A9,ک,ک,Match
AC08,Shift,U062E,U062E,خ,خ,Match
AC08,AltGr,U0643,U0643,ك,ك,Match
AC08,Shift+AltGr,None,None,,,Match
AC09,Base,U0644,U0644,ل,ل,Match
